set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.0442978 0.301614

0.796818 0.307744
0.775981 0.31105

0.0286291 0.310477
0.0571344 0.314473

0.463626 0.187777
0.462873 0.187282

0.264579 0.275149
0.463626 0.187777

0.113585 0.502308
0.127223 0.498454

0.20244 0.0980574
0.18736 0.166667

0.450971 0.295013
0.453055 0.302113

0.380371 0.0211253
0.397805 0.0887609

0.0660623 0.383648
0.100739 0.364359

0.202599 0.279
0.192309 0.287624

0.00749773 0.00272941
0.0198565 0.0202299

0.552416 0.285256
0.55705 0.291407

0.966634 0.436605
0.952569 0.431465

0.380371 0.0211253
0.335785 0.0712648

0.452909 0.407654
0.361998 0.389098

0.173924 0.488401
0.273694 0.459524

0.139454 0.494171
0.140613 0.493977

0.215706 0.159417
0.21471 0.163789

0.110298 0.222475
0.445707 0.25509

0.215706 0.159417
0.215466 0.161873

0.13855 0.332673
0.133453 0.336945

0.120139 0.444786
0.121408 0.437055

0.565697 0.296806
0.564329 0.286076

0.972777 0.174396
0.939209 0.18449

0.771656 0.192587
0.753661 0.19505

0.972777 0.174396
0.971116 0.175661

0.502446 0.232901
0.498921 0.229508

0.673782 0.40193
0.653111 0.445883

0.438437 0.176925
0.440917 0.180033

0.221342 0.199962
0.230014 0.200377

0.570037 0.352958
0.56378 0.342991

0.772597 0.239046
0.723712 0.266537

0.70568 0.305815
0.706697 0.304801

0.720892 0.250138
0.565697 0.296806

0.930679 0.330009
0.915196 0.324114

0.135055 0.205039
0.137026 0.207053

0.0970704 0.397921
0.135055 0.205039

0.475426 0.0663368
0.46483 0.0756229

0.115134 0.184687
0.117049 0.186644

0.606937 0.100799
0.564204 0.108088

0.45159 0.392241
0.468055 0.398859

0.606937 0.100799
0.400395 0.48829

0.93292 0.282883
0.89153 0.235866

0.909338 0.29434
0.911639 0.293222

0.48869 0.223384
0.40299 0.0868773

0.259739 0.124618
0.282241 0.134325

0.896208 0.246646
0.901945 0.247283

0.496253 0.0944821
0.548622 0.114406

0.874991 0.388001
0.874962 0.387979

0.553098 0.197989
0.552359 0.192188

0.874991 0.388001
0.869523 0.388748

0.694759 0.418004
0.691107 0.414488

0.365705 0.0141455
0.390015 0.0439823

0.215466 0.161873
0.163623 0.691979

0.223503 0.0456565
0.221447 0.0753932

0.126104 0.408465
0.127949 0.397229

0.017851 0.248876
0.0280962 0.26398

0.221447 0.0753932
0.221139 0.0798395

0.137015 0.187127
0.141273 0.181492

0.717693 0.0393615
0.714811 0.0393077

0.0113577 0.548122
0.0205942 0.541469

0.861096 0.297547
0.796818 0.307744

0.0113577 0.548122
0.0213739 0.546742

0.141273 0.181492
0.158343 0.158903

0.0638471 0.603135
0.0692115 0.573921

0.730644 0.184685
0.720771 0.190881

