set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.398868 0.646299
0.402403 0.641185

0.22622 0.45327
0.248815 0.444122

0.573566 0.893448
0.610869 0.90038

0.610869 0.90038
0.623833 0.83062

0.139233 0.298167
0.120001 0.286204

0.970188 0.325218
0.94447 0.279538

0.111806 0.0529584
0.166832 0.0777999

0.643865 0.83435
0.6315 0.822571

0.6315 0.822571
0.693835 0.757131

0.437383 0.317247
0.440107 0.33632

0.440107 0.33632
0.491477 0.328984

0.885335 0.367745
0.892334 0.408317

0.681956 0.0691965
0.677813 0.104409

0.848143 0.206716
0.848555 0.206427

0.870668 0.190919
0.893766 0.223855

0.830789 0.181093
0.848555 0.206427

0.848555 0.206427
0.870668 0.190919

0.926486 0.428294
0.924648 0.427509

0.924648 0.427509
0.926595 0.422948

0.0627039 0.0283094
0.111806 0.0529584

0.49932 0.351432
0.504616 0.347718

0.504616 0.347718
0.518501 0.367517

0.12165 0.976478
0.122307 0.993583

0.122307 0.993583
0.159793 0.992145

0.854014 0.181316
0.860664 0.176653

0.860664 0.176653
0.870668 0.190919

0.662716 0.266876
0.66866 0.241155

0.705202 0.117456
0.676673 0.114099

0.676673 0.114099
0.673079 0.144645

0.932646 0.286195
0.94447 0.279538

0.94447 0.279538
0.938606 0.269122

0.636145 0.516369
0.664335 0.46757

0.543211 0.695697
0.50063 0.609879

0.857364 0.842784
0.857321 0.842697

0.857321 0.842697
0.950275 0.797556

0.78851 0.0919156
0.797042 0.085932

0.797042 0.085932
0.823513 0.123678

0.96102 0.638059
0.915374 0.650449

0.915374 0.650449
0.917992 0.660093

0.163826 0.901988
0.194206 0.918131

0.943416 0.99408
0.947847 0.966666

0.581238 0.32352
0.518501 0.367517

0.518501 0.367517
0.542735 0.402074

0.522167 0.433968
0.550948 0.413785

0.550948 0.413785
0.574681 0.447627

0.381521 0.0583747
0.371203 0.0770862

0.228641 0.618473
0.276926 0.651851

0.276926 0.651851
0.215372 0.740896

0.700443 0.9155
0.665197 0.924153

0.0393453 0.650852
0.0571598 0.631528

0.831234 0.265939
0.848143 0.206716

0.489581 0.619225
0.497526 0.607733

0.497526 0.607733
0.448808 0.574055

0.244109 0.501894
0.22622 0.45327

0.751819 0.914714
0.700443 0.9155

0.870036 0.752076
0.929449 0.732929

0.929449 0.732929
0.910403 0.673827

0.984655 0.402934
0.968471 0.440831

0.968471 0.440831
0.926595 0.422948

0.5497 0.935681
0.588646 0.943147

0.683618 0.105092
0.677813 0.104409

0.677813 0.104409
0.677157 0.109985

0.857559 0.443039
0.8527 0.436112

0.8527 0.436112
0.825978 0.454852

0.830048 0.489245
0.82811 0.486481

0.82811 0.486481
0.831871 0.483844

0.710195 0.0635621
0.681956 0.0691965

0.586828 0.462547
0.57581 0.446835

0.57581 0.446835
0.574681 0.447627

0.59682 0.797852
0.627348 0.826931

